"","Lifespan.Number...","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","Lifespan.Description.","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51"
"1",NA,"Worm Strain →","N2",NA,NA,NA,"Date Eggs Picked →",NA,NA,NA,NA,NA,NA,NA,"Temp →",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"Bacteria →","yfg-3",NA,NA,NA,"Date FUDR Added →",NA,NA,NA,NA,NA,NA,NA,"Color →",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,"Treatment →",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,"Date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"Initials","JT","JT","JT","JT","JT","JT","JT","AA",NA,"JT",NA,"JT","JT","JT",NA,"AA","JT","JT","JT","JT","JT","AA","AA","AA","AA","AA","AA","AA","AA",NA,"AA","AA","AA","AA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1","Missing","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2","Alive","3","3","3","3","3","3","3","2",NA,"2",NA,"2","2","2",NA,"1","1","1","1","1","1","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2","Dead","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"1","0","0","0","0","0","0","1","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2","Missing-Exploded","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2","Missing-Bagged","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2","Missing","0","0","0","0","0","0","0","1",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","1","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","3","Alive","8","8","8","8","8","6","6","6",NA,"6",NA,"6","6","6",NA,"5","5","5","4","4","3","1","1","1","1","1",NA,"1","1",NA,"1","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","3","Dead","0","0","0","0","0","1","0","0",NA,"0",NA,"0","0","0",NA,"1","0","0","1","0","1","1","0","0","0","0",NA,"0","0",NA,"0","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","3","Missing-Exploded","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","3","Missing-Bagged","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","3","Missing","0","0","0","0","0","1","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","1","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","4","Alive","12","12","11","11","11","11","10","8",NA,"7",NA,"6","4","4",NA,"3","3","3","2","2","1","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","4","Dead","0","0","0","0","0","0","0","1",NA,"1",NA,"1","2","0",NA,"1","0","0","1","0","1","1","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","4","Missing-Exploded","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","4","Missing-Bagged","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","4","Missing","0","0","1","0","0","0","1","1",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","5","Alive","4","4","4","4","4","4","4","4",NA,"3",NA,"3","3","3",NA,"3","2","1","1","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","5","Dead","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","1","1","0","1","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","5","Missing-Exploded","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","5","Missing-Bagged","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","5","Missing","0","0","0","0","0","0","0","0",NA,"1",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","6","Alive","6","6","6","6","6","6","6","5",NA,"5",NA,"5","5","5",NA,"5","4","2","2","1","1","1","1","1","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","6","Dead","0","0","0","0","0","0","0","1",NA,"0",NA,"0","0","0",NA,"0","1","2","0","1","0","0","0","0","1","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","6","Missing-Exploded","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","6","Missing-Bagged","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","6","Missing","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","7","Alive","4","4","4","4","4","4","4","4",NA,"4",NA,"3","3","3",NA,"3","2","2","1","1","1","1","1","1","1","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","7","Dead","0","0","0","0","0","0","0","0",NA,"0",NA,"1","0","0",NA,"0","1","0","1","0","0","0","0","0","0","1",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","7","Missing-Exploded","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","7","Missing-Bagged","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","7","Missing","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","8","Alive","7","7","7","7","7","7","7","6",NA,"6",NA,"5","5","5",NA,"5","5","4","3","1","1","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","8","Dead","0","0","0","0","0","0","0","1",NA,"0",NA,"1","0","0",NA,"0","0","1","1","2","0","1","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","8","Missing-Exploded","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","8","Missing-Bagged","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","8","Missing","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","9","Alive","9","9","9","9","9","9","9","8",NA,"7",NA,"6","6","4",NA,"4","3","2","2","2","2","2","2","1","1","1",NA,"1","1",NA,"1","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","9","Dead","0","0","0","0","0","0","0","1",NA,"1",NA,"1","0","2",NA,"0","1","1","0","0","0","0","0","1","0","0",NA,"0","0",NA,"0","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","9","Missing-Exploded","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","9","Missing-Bagged","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","9","Missing","0","0","0","0","0","0","0","0",NA,"0",NA,"0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
